2 2 1 f 9 	1215.554465512	3.167e-05	88
2 2 1 e 9 	1215.554935664	2.943e-05	108
2 0 1 e 11 	1223.557514372	2.568e-05	122
2 2 1 f 10 	1223.956259676	3.260e-05	93
2 2 1 e 10 	1223.956972459	3.054e-05	109
2 2 1 f 11 	1233.198069925	3.269e-05	91
2 2 1 e 11 	1233.199098920	3.175e-05	103
2 0 1 e 12 	1233.633885432	2.724e-05	127
1 1 1 e 39 	1242.251379376	6.043e-05	139
0 0 1 e 54 	1242.908881752	1.428e-04	155
2 2 1 f 12 	1243.279844303	3.267e-05	91
2 2 1 e 12 	1243.281283920	3.290e-05	101
1 1 1 f 39 	1243.484422671	7.404e-05	124
2 0 1 e 13 	1244.549633865	2.872e-05	130
2 2 1 f 13 	1254.201529895	3.392e-05	79
2 2 1 e 13 	1254.203491962	3.411e-05	91
2 0 1 e 14 	1256.304682695	3.014e-05	132
2 2 1 f 14 	1265.963071674	3.361e-05	79
2 2 1 e 14 	1265.965676701	3.526e-05	94
2 0 1 e 15 	1268.898950218	3.149e-05	133
1 1 1 e 40 	1275.739944748	6.176e-05	137
1 1 1 f 40 	1277.036099690	1.103e-04	115
2 2 1 f 15 	1278.564407154	3.470e-05	81
2 2 1 e 15 	1278.567812775	3.643e-05	99
2 0 1 e 16 	1282.332347588	3.280e-05	110
2 0 2 e 0 	1284.903342161	8.914e-06	35
2 0 2 e 1 	1285.737851784	8.984e-06	71
2 0 2 e 2 	1287.406866128	8.915e-06	73
0 0 1 e 55 	1288.882844615	1.395e-04	132
2 0 2 e 3 	1289.910378019	9.055e-06	81
2 2 1 f 16 	1292.005471334	3.588e-05	93
2 2 1 e 16 	1292.009848325	3.756e-05	115
2 0 2 e 4 	1293.248374071	9.066e-06	90
2 0 1 e 17 	1296.604780839	3.405e-05	137
2 0 2 e 5 	1297.420838931	1.281e-05	88
2 0 2 e 6 	1302.427750354	1.568e-05	97
2 2 1 f 17 	1306.286194771	3.701e-05	97
2 2 1 e 17 	1306.291735124	3.865e-05	112
